City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Atuona,PF,80.67,broken clouds,-9.8,-139.0333,Villa Enata
9,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
12,Candolim,IN,84.2,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
14,San Patricio,US,81.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
15,Huarmey,PE,75.49,overcast clouds,-10.0681,-78.1522,Hotel Miramar
16,Cabo San Lucas,MX,79.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Ridgecrest,US,78.8,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
25,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Kapaa,US,77.0,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
33,Rikitea,PF,76.86,clear sky,-23.1203,-134.9692,Pension Maro'i
37,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Dhanwar,IN,76.96,clear sky,24.4167,85.9833,K G N HOTEL
46,Puerto Ayora,EC,80.6,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
52,Wajir,KE,83.43,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
54,Bandarbeyla,SO,78.49,overcast clouds,9.4942,50.8122,JABIR HOTEL
55,Hithadhoo,MV,83.32,overcast clouds,-0.6,73.0833,Scoop Guest House
59,Butaritari,KI,80.11,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
73,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
78,San Antonio,US,90.0,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
80,Kavieng,PG,79.92,light rain,-2.5744,150.7967,Nusa Island Retreat
83,Carnarvon,AU,75.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
84,Paramirim,BR,78.42,broken clouds,-13.4425,-42.2389,Pousada Rio Pequeno
86,Cedartown,US,79.0,clear sky,34.0537,-85.255,Quality Inn
96,San-Pedro,CI,80.02,scattered clouds,4.7485,-6.6363,Hotel Maria
98,Karratha,AU,80.08,clear sky,-20.7377,116.8463,ibis Styles Karratha
99,Atar,MR,85.73,few clouds,20.5169,-13.0499,Oumou Elghoura
102,Sinnamary,GF,79.66,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
106,Arraial Do Cabo,BR,77.0,light rain,-22.9661,-42.0278,Pousada Porto Praia
113,Lazaro Cardenas,MX,84.16,clear sky,17.9583,-102.2,Hotel Quinta Antigua
114,Bangar,PH,76.32,few clouds,16.8936,120.4243,Villa Elita
117,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
122,Nouakchott,MR,75.2,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
123,Tual,ID,83.71,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
124,Morondava,MG,75.15,clear sky,-20.2833,44.2833,La Case Bambou
125,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
129,Mogadishu,SO,82.31,clear sky,2.0371,45.3438,Olympic Hotel
132,Sambava,MG,78.21,light rain,-14.2667,50.1667,Melrose
133,Banda Aceh,ID,79.14,broken clouds,5.5577,95.3222,Sulthan Hotel International
136,Celestun,MX,82.47,overcast clouds,20.8667,-90.4,Posada Lilia
142,Badiraguato,MX,89.01,scattered clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
143,Pisco,PE,82.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
144,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
151,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
155,Tahta,EG,75.2,clear sky,26.7693,31.5021,El Salam Hotel
157,Labuhan,ID,77.99,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
158,Canning,IN,78.8,haze,22.3189,88.6714,Tuhinsuvra Sarkar
159,Moerai,PF,77.29,light rain,-22.4333,-151.3333,Le Manotel
161,Texarkana,US,77.0,overcast clouds,33.4251,-94.0477,Holiday Inn Express & Suites Texarkana
162,Ghanzi,BW,75.29,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
164,Tomatlan,MX,88.23,clear sky,19.9333,-105.25,Norma franco
165,Pinotepa Nacional,MX,88.7,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
